Id,Slug,Name,City
1610610023,,Anderson,Packers
1610610024,,Baltimore,Bullets
1610610025,,Chicago,Stags
1610610026,,Cleveland,Rebels
1610610027,,Denver,Nuggets
1610610028,,Detroit,Falcons
1610610029,,Indianapolis,Jets
1610610030,,Indianapolis,Olympians
1610610031,,Pittsburgh,Ironmen
1610610032,,Providence,Steamrollers
1610610033,,Sheboygan,Redskins
1610610034,,St. Louis,Bombers
1610610035,,Toronto,Huskies
1610610036,,Washington,Capitols
1610610037,,Waterloo,Hawks
1610612737,hawks,Atlanta,Hawks
1610612738,celtics,Boston,Celtics
1610612739,cavaliers,Cleveland,Cavaliers
1610612740,pelicans,New Orleans,Pelicans
1610612741,bulls,Chicago,Bulls
1610612742,mavericks,Dallas,Mavericks
1610612743,nuggets,Denver,Nuggets
1610612744,warriors,Golden State,Warriors
1610612745,rockets,Houston,Rockets
1610612746,clippers,LA,Clippers
1610612747,lakers,Los Angeles,Lakers
1610612748,heat,Miami,Heat
1610612749,bucks,Milwaukee,Bucks
1610612750,timberwolves,Minnesota,Timberwolves
1610612751,nets,Brooklyn,Nets
1610612752,knicks,New York,Knicks
1610612753,magic,Orlando,Magic
1610612754,pacers,Indiana,Pacers
1610612755,sixers,Philadelphia,76ers
1610612756,suns,Phoenix,Suns
1610612757,blazers,Portland,Trail Blazers
1610612758,kings,Sacramento,Kings
1610612759,spurs,San Antonio,Spurs
1610612760,thunder,Oklahoma City,Thunder
1610612761,raptors,Toronto,Raptors
1610612762,jazz,Utah,Jazz
1610612763,grizzlies,Memphis,Grizzlies
1610612764,wizards,Washington,Wizards
1610612765,pistons,Detroit,Pistons
1610612766,hornets,Charlotte,Hornets
